"","age","gender","region_category","membership_category","joined_through_referral","preferred_offer_types","medium_of_operation","internet_option","days_since_last_login","avg_time_spent","avg_transaction_value","avg_frequency_login_days","points_in_wallet","used_special_discount","offer_application_preference","past_complaint","complaint_status","feedback","churn_risk_score","Days_from","time_from_last_visit"
"4006",20,"M","City","Silver Membership","Yes","Gift Vouchers/Coupons","Smartphone","Mobile_Data",10,180.9,48567.2,24,1225.22365745829,"No","Yes","Yes","Solved","Too many ads","3",494,222
"4007",33,"F","Town","No Membership","Yes","Gift Vouchers/Coupons","Both","Mobile_Data",8,484.68,43374.34,25,584.46,"No","Yes","No","Not Applicable","Poor Customer Service","5",152,188
"4008",11,"F","City","Premium Membership","No","Without Offers","Both","Wi-Fi",13,434.14,79068.35,9,1231.86865983775,"No","Yes","No","Not Applicable","Quality Customer Care","1",939,300
"4009",39,"F","City","No Membership","Yes","Without Offers","Smartphone","Mobile_Data",19,98.04,14953.59,14,560.29,"No","Yes","Yes","No Information Available","Poor Website","5",940,456
"4010",51,"F","Town","No Membership","Yes","Without Offers","Desktop","Wi-Fi",11,80.74,2142.56,16,679.76,"Yes","No","Yes","Solved in Follow-up","Too many ads","5",1041,264
"4011",34,"F","Town","No Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",14,131.9,35709.03,8,645.41,"No","Yes","Yes","Unsolved","Poor Website","5",940,314
"4013",48,"F","Village","No Membership","Yes","Gift Vouchers/Coupons","Both","Mobile_Data",12,1802.68625399807,41635.93,28,532.54,"Yes","No","Yes","Solved","Poor Customer Service","5",803,273
"4015",49,"M","City","Silver Membership","No","Credit/Debit Card Offers","Both","Wi-Fi",7,445.83,37399.21,13,737.73,"No","Yes","Yes","Solved in Follow-up","Reasonable Price","2",470,162
"4021",53,"F","Village","Silver Membership","No","Gift Vouchers/Coupons","Both","Fiber_Optic",21,234.41,97451.31,8,742.61,"Yes","Yes","Yes","No Information Available","Products always in Stock","2",252,486
"4022",14,"M","Town","No Membership","Yes","","Smartphone","Fiber_Optic",26,49.25,27842.62,22,648.08,"Yes","No","No","Not Applicable","Poor Product Quality","5",966,607
"4025",60,"M","City","No Membership","No","Without Offers","Smartphone","Fiber_Optic",5,135.03,47704.16,23,649.49,"Yes","No","No","Not Applicable","Poor Customer Service","5",681,111
"4026",23,"M","Village","Silver Membership","Yes","Credit/Debit Card Offers","Both","Wi-Fi",5,378.88,15434.33,23,710.82,"Yes","No","Yes","Unsolved","No reason specified","4",1080,108
"4029",50,"M","City","Premium Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",6,314.23,66844.81,10,436.267844784056,"No","Yes","No","Not Applicable","Quality Customer Care","2",246,139
"4030",44,"F","Town","Basic Membership","Yes","Without Offers","Desktop","Wi-Fi",5,714,3368.04,28,611.09,"Yes","Yes","No","Not Applicable","Poor Customer Service","5",539,102
"4032",30,"M","City","Platinum Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",7,378.57,92465.29,2,792.51,"No","Yes","No","Not Applicable","Products always in Stock","1",664,146
"4033",41,"F","City","Basic Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",9,385.34,41429.46,8,647.17,"No","Yes","Yes","No Information Available","Poor Customer Service","4",891,201
"4035",46,"F","Town","No Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",16,51.94,19403.13,17,518.23,"Yes","No","Yes","Unsolved","Too many ads","5",102,376
"4037",64,"M","Town","Basic Membership","Yes","Gift Vouchers/Coupons","Smartphone","Mobile_Data",3,108.09,7728.71,21,883.842526223281,"Yes","No","No","Not Applicable","Too many ads","5",815,56
"4040",31,"F","City","Gold Membership","No","Credit/Debit Card Offers","Smartphone","Wi-Fi",10,252.99,39731.54,9,281.919243507553,"No","Yes","No","Not Applicable","Poor Website","3",522,231
"4041",47,"M","City","Gold Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",17,30.57,40777.13,3.21938934544397,696.64,"Yes","No","No","Not Applicable","Poor Customer Service","4",1075,396
"4042",12,"M","Village","Premium Membership","No","Without Offers","Desktop","Fiber_Optic",6,238.74,74011.27,11,1439.81573815147,"Yes","No","Yes","Solved","User Friendly Website","1",727,128
"4046",48,"M","Town","Gold Membership","Yes","Gift Vouchers/Coupons","Both","Wi-Fi",12,654.57,73463.55,6,794.79,"Yes","Yes","No","Not Applicable","Products always in Stock","1",653,273
"4048",62,"F","City","Basic Membership","No","Without Offers","Smartphone","Wi-Fi",26,34.59,1475.84,12,650.51,"Yes","No","No","Not Applicable","Poor Product Quality","5",574,613
"4049",47,"F","Village","Silver Membership","No","Gift Vouchers/Coupons","Both","Wi-Fi",13,486.99,23107.48,16,416.062968824072,"Yes","No","No","Not Applicable","Poor Customer Service","3",95,303
"4050",18,"F","Town","Gold Membership","Yes","Without Offers","Smartphone","Mobile_Data",11,48.56,22497.51,19,654.55,"Yes","No","No","Not Applicable","No reason specified","4",1084,247
"4054",46,"F","City","Basic Membership","No","Credit/Debit Card Offers","Both","Wi-Fi",11,203.76,24194.44,28,695.52,"No","Yes","No","Not Applicable","Too many ads","4",1008,256
"4055",37,"F","City","Premium Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",16,540.42,86759.96,5,780.79,"Yes","No","No","Not Applicable","Reasonable Price","1",691,361
"4056",24,"F","City","Premium Membership","Yes","Without Offers","Both","Fiber_Optic",14,384.32,6330.97,19,768.73,"Yes","No","Yes","Solved","User Friendly Website","2",858,323
"4058",61,"F","City","Platinum Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",22,72.05,30238.86,12,789.99,"No","Yes","No","Not Applicable","No reason specified","3",1019,527
"4059",41,"F","Village","Silver Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",23,114.59,41880.28,12,1181.52524234447,"No","Yes","Yes","Solved in Follow-up","Poor Customer Service","3",57,548
"4060",24,"M","Town","Platinum Membership","Yes","Gift Vouchers/Coupons","Desktop","Fiber_Optic",16,56.15,36752.85,9,720.94,"Yes","No","Yes","No Information Available","Poor Product Quality","3",376,374
"4062",54,"M","Town","Platinum Membership","No","Without Offers","Desktop","Mobile_Data",10,102.45,30580.79,27,773.61,"Yes","No","No","Not Applicable","Poor Product Quality","3",633,223
"4063",53,"M","Village","Platinum Membership","No","","Smartphone","Fiber_Optic",12,31.07,84125.56,15,768.93,"No","Yes","No","Not Applicable","Products always in Stock","2",615,286
"4064",21,"M","City","No Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",18,31.47,32435.41,15,642.27,"No","Yes","No","Not Applicable","Poor Product Quality","5",884,409
"4066",63,"M","City","Platinum Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",19,34.27,20847.12,5,840.01,"No","Yes","Yes","Unsolved","Reasonable Price","1",398,447
"4067",21,"M","Town","Platinum Membership","Yes","Gift Vouchers/Coupons","Both","Wi-Fi",7,518.99,2839.32,20,796.49,"Yes","No","Yes","No Information Available","Too many ads","3",728,168
"4068",16,"F","City","No Membership","Yes","Without Offers","Smartphone","Fiber_Optic",22,203.29,12242.7,21,603.62,"Yes","No","Yes","Solved","Poor Customer Service","5",1069,518
"4070",58,"M","Town","Gold Membership","Yes","Without Offers","Desktop","Fiber_Optic",18,110.33,43599.06,27,627.6,"No","Yes","No","Not Applicable","Poor Customer Service","4",158,421
"4072",29,"M","City","Platinum Membership","Yes","Without Offers","Desktop","Wi-Fi",11,45.27,43975.35,24,750.11,"Yes","No","Yes","No Information Available","Too many ads","3",585,251
"4073",25,"F","Town","Basic Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",15,33.87,7216.89,19,633.29,"No","Yes","Yes","No Information Available","Too many ads","4",925,343
"4076",49,"M","City","Silver Membership","No","Gift Vouchers/Coupons","Both","Mobile_Data",15,369.08,16298.07,12,680.04,"No","Yes","Yes","No Information Available","Poor Product Quality","4",843,345
"4079",61,"M","City","No Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",7,297.9,3952.18,27,551.69,"Yes","No","No","Not Applicable","No reason specified","5",911,155
"4080",30,"F","Village","Basic Membership","Yes","Without Offers","Desktop","Wi-Fi",9,162.67,27380.31,11,685.59,"No","Yes","Yes","Unsolved","Too many ads","4",141,209
"4081",44,"M","City","Platinum Membership","Yes","Credit/Debit Card Offers","Desktop","Fiber_Optic",21,1440.37484102382,75461.87,5,790.14,"Yes","Yes","Yes","Solved","User Friendly Website","1",1037,490
"4082",23,"F","Village","No Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",15,1249.11170476364,27672.53,7,688.92,"Yes","No","Yes","No Information Available","Poor Customer Service","5",504,354
"4086",34,"F","City","Gold Membership","No","Credit/Debit Card Offers","Smartphone","Wi-Fi",12,311.37,24239.43,6,1169.29546033178,"Yes","No","Yes","No Information Available","Poor Customer Service","3",1025,283
"4087",38,"M","Town","Gold Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",4,732.16,47804.43,9,711.05,"Yes","No","No","Not Applicable","Poor Website","3",583,96
"4088",37,"M","Town","Platinum Membership","Yes","Credit/Debit Card Offers","Both","Fiber_Optic",12,669.09,76289.99,19,452.441038973681,"Yes","Yes","Yes","Unsolved","User Friendly Website","2",284,286
"4089",40,"M","Town","No Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",15,406.81,15860.16,20,1109.51385961498,"No","Yes","No","Not Applicable","Poor Website","5",390,351
"4091",30,"M","Town","Gold Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",24,67.78,25327.02,29,767.36,"No","Yes","No","Not Applicable","Poor Customer Service","3",822,557
"4093",63,"M","Town","Premium Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",16,63.81,24121.39,27,749.25,"Yes","No","Yes","Unsolved","Poor Product Quality","3",729,378
"4094",17,"M","Village","Platinum Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",9,34.35,1252.82,22,751.55,"Yes","No","No","Not Applicable","Too many ads","3",697,212
"4095",12,"F","Town","Gold Membership","No","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",17,166.04,30782.42,15,737.6,"No","Yes","No","Not Applicable","Reasonable Price","2",862,385
"4096",44,"F","Town","Platinum Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",20,202.17,83172.98,1,825.13,"No","Yes","Yes","Solved in Follow-up","User Friendly Website","1",247,461
"4098",40,"F","City","Basic Membership","Yes","Gift Vouchers/Coupons","Desktop","Fiber_Optic",13,620.19,13225.19,13,643.84,"Yes","Yes","No","Not Applicable","Poor Website","4",261,289
"4099",29,"F","City","Silver Membership","No","Without Offers","Smartphone","Wi-Fi",18,447.13,9009.15,22,752.16,"Yes","No","No","Not Applicable","Poor Product Quality","3",523,431
"4102",51,"M","Town","Gold Membership","No","Gift Vouchers/Coupons","Both","Fiber_Optic",5,404.44,19384,5,849.94,"Yes","No","No","Not Applicable","Reasonable Price","1",200,120
"4104",31,"F","Town","Basic Membership","Yes","Gift Vouchers/Coupons","Both","Mobile_Data",14,806.21,1693.52,10,686.02,"Yes","No","Yes","Solved","No reason specified","5",970,334
"4106",44,"F","City","Gold Membership","Yes","Without Offers","Desktop","Mobile_Data",11,230.08,13534.33,5,781.37,"No","Yes","No","Not Applicable","No reason specified","3",824,258
"4108",29,"F","Village","Premium Membership","Yes","Gift Vouchers/Coupons","Both","Wi-Fi",5,779.97,32963.37,25,745.44,"Yes","No","Yes","No Information Available","No reason specified","3",116,120
"4111",64,"F","Town","Platinum Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",16,125.98,94737.2,19,809.72,"Yes","No","No","Not Applicable","Products always in Stock","1",234,370
"4112",61,"M","City","Basic Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",24,203.08,21223.13,27,1092.62951017629,"No","Yes","Yes","Solved","Too many ads","5",1095,554
"4113",24,"F","Town","Platinum Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",10,452.62,8104.24,10,794.17,"No","Yes","No","Not Applicable","Quality Customer Care","1",373,219
"4115",46,"M","City","Gold Membership","No","Without Offers","Desktop","Fiber_Optic",20,30.06,11571.23,27,302.302841455855,"No","Yes","Yes","No Information Available","Poor Website","4",99,458
"4120",29,"M","City","Silver Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",6,133.21,21108.89,21,608.45,"No","Yes","No","Not Applicable","Poor Customer Service","4",537,127
"4121",43,"F","City","No Membership","Yes","Without Offers","Smartphone","Fiber_Optic",15,38.95,5598.39,20,697.35,"No","Yes","No","Not Applicable","Poor Website","5",803,349
"4122",27,"F","Village","Gold Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",12,162.59,28038.24,18,601.65,"Yes","No","No","Not Applicable","No reason specified","4",1009,276
"4124",49,"F","Town","Gold Membership","No","Without Offers","Smartphone","Wi-Fi",19,270.84,29078.34,27,663.32,"Yes","No","Yes","No Information Available","Poor Website","4",383,440
"4125",31,"F","City","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",14,108.16,27885.68,18,1248.02144172276,"No","Yes","Yes","Solved in Follow-up","Poor Website","4",881,326
"4126",33,"M","City","Platinum Membership","No","","Desktop","Fiber_Optic",11,168.46,25035.92,9,794.44,"Yes","No","No","Not Applicable","User Friendly Website","1",691,261
"4131",34,"M","City","Gold Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",14,148.05,74407.62,6,823.01,"No","Yes","Yes","Solved","Reasonable Price","1",1074,326
"4137",31,"M","Town","No Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",12,416.62,45756.68,19,668.67,"Yes","Yes","No","Not Applicable","No reason specified","5",656,275
"4139",18,"M","Town","Silver Membership","No","Without Offers","Desktop","Wi-Fi",3,160.27,30747.53,29,1032.00896043216,"No","Yes","No","Not Applicable","Poor Product Quality","4",116,63
"4140",21,"M","Town","Gold Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",12,67.32,5578.64,12,783.18,"No","Yes","Yes","Unsolved","Products always in Stock","1",996,288
"4141",41,"M","Village","Basic Membership","No","Without Offers","Desktop","Fiber_Optic",16,188.43,17202.44,6,627.71,"Yes","No","No","Not Applicable","Poor Customer Service","4",734,375
"4142",53,"M","Village","Silver Membership","Yes","Without Offers","Both","Mobile_Data",7,816.95,38674.79,22,762.15,"No","Yes","Yes","Solved","Poor Product Quality","3",1008,159
"4144",32,"F","City","Silver Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",17,30.97,34774.36,15,628.75,"Yes","No","Yes","Unsolved","Poor Website","4",358,397
"4145",46,"M","City","No Membership","No","Without Offers","Desktop","Wi-Fi",9,83.13,22400.66,19,400.259411264034,"Yes","No","Yes","Solved","Poor Customer Service","5",85,205
"4146",22,"F","Town","Platinum Membership","No","Credit/Debit Card Offers","Both","Mobile_Data",11,483.34,26125.07,2,731.41,"No","Yes","No","Not Applicable","Reasonable Price","2",363,255
"4148",60,"F","Village","Basic Membership","No","Credit/Debit Card Offers","Both","Wi-Fi",18,309.05,22690.52,25,202.406230588867,"Yes","No","Yes","Solved","Poor Website","5",642,409
"4150",30,"F","Village","Gold Membership","No","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",15,281.42,29506.18,13,738.2,"No","Yes","No","Not Applicable","Poor Product Quality","3",675,344
"4155",54,"M","City","No Membership","No","Without Offers","Desktop","Fiber_Optic",10,140.93,32169.27,14,645.18,"Yes","No","No","Not Applicable","No reason specified","4",599,222
"4156",62,"M","City","Premium Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",16,495.67,16586.47,17,791.57,"No","Yes","No","Not Applicable","Too many ads","3",119,370
"4157",41,"F","Town","Silver Membership","Yes","Without Offers","Smartphone","Fiber_Optic",12,272.8,3804.67,11,712.8,"No","Yes","Yes","No Information Available","Poor Product Quality","4",660,268
"4158",46,"F","Town","Basic Membership","No","Without Offers","Smartphone","Fiber_Optic",21,343.84,20705.98,14,608.87,"No","Yes","No","Not Applicable","Poor Customer Service","5",980,489
"4159",28,"F","Town","Silver Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",10,1103.31966130458,4867.08,10,736.97,"No","Yes","No","Not Applicable","Poor Website","3",76,238
"4160",30,"M","City","Gold Membership","No","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",14,179.24,28990.06,19,725.13,"No","Yes","No","Not Applicable","User Friendly Website","2",405,322
"4162",48,"M","Town","Platinum Membership","Yes","Gift Vouchers/Coupons","Both","Mobile_Data",16,789.08,25110.26,29,132.140958985932,"Yes","No","No","Not Applicable","Poor Website","3",1032,378
"4164",40,"F","City","Silver Membership","Yes","Without Offers","Desktop","Wi-Fi",4,140.46,64924.82,11,786.65,"No","Yes","No","Not Applicable","User Friendly Website","2",33,96
"4165",16,"M","City","Premium Membership","No","Without Offers","Desktop","Mobile_Data",21,30.16,24504.25,9,707.65,"No","Yes","Yes","Unsolved","Poor Website","3",639,490
"4166",52,"F","Town","No Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",21,33.71,4651.93,7,564.63,"No","Yes","No","Not Applicable","Poor Customer Service","5",848,488
"4167",35,"F","City","Basic Membership","Yes","Credit/Debit Card Offers","Both","Wi-Fi",2,242.63,5521.59,7,698.03,"Yes","Yes","No","Not Applicable","Poor Product Quality","5",889,27
"4168",54,"M","City","Basic Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",19,33.95,22060.19,24,109.125055118781,"No","Yes","No","Not Applicable","Poor Product Quality","4",1002,434
"4171",52,"F","Town","Basic Membership","Yes","Gift Vouchers/Coupons","Desktop","Fiber_Optic",2,104.11,48097.45,7,864.559617346001,"No","Yes","No","Not Applicable","Poor Product Quality","5",102,40
"4173",43,"M","City","Silver Membership","No","Without Offers","Smartphone","Fiber_Optic",9,192.42,39111.52,16,785.06,"Yes","No","Yes","Solved in Follow-up","Poor Product Quality","3",200,198
"4175",50,"F","Town","Basic Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",24,257.09,15342.93,19,702.58,"Yes","Yes","No","Not Applicable","Poor Website","4",350,557
"4178",15,"F","Village","No Membership","No","Without Offers","Desktop","Wi-Fi",1,87.56,43196.05,12,607.7,"No","Yes","No","Not Applicable","Poor Customer Service","5",629,6
"4179",50,"M","Town","Silver Membership","Yes","Without Offers","Smartphone","Fiber_Optic",9,40.86,29550.01,15,719.22,"Yes","No","No","Not Applicable","Poor Product Quality","4",831,200
"4180",42,"M","City","Platinum Membership","Yes","Without Offers","Desktop","Wi-Fi",11,714.78,12082.79,25,760.35,"No","Yes","No","Not Applicable","No reason specified","3",207,255
"4181",12,"F","Town","Gold Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",21,101,90505.17,8,700.75,"Yes","No","No","Not Applicable","Reasonable Price","2",1077,482
"4182",23,"M","City","Gold Membership","No","Credit/Debit Card Offers","Both","Mobile_Data",20,257.97,75483.68,14,802.19,"No","Yes","No","Not Applicable","User Friendly Website","1",527,470
"4183",61,"M","City","Platinum Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",23,1285.28434409661,70939.52,11,701.23,"No","Yes","Yes","Unsolved","User Friendly Website","2",114,537
"4184",19,"F","City","Basic Membership","Yes","Without Offers","Smartphone","Fiber_Optic",6,249.01,16913.94,20,618.19,"No","Yes","No","Not Applicable","Poor Customer Service","5",670,136
"4186",53,"F","City","Silver Membership","No","Without Offers","Smartphone","Fiber_Optic",3,97.03,48389.96,5,708.26,"Yes","No","Yes","Unsolved","Too many ads","4",118,64
"4188",39,"M","City","Basic Membership","Yes","Gift Vouchers/Coupons","Smartphone","Mobile_Data",9,31.42,25651.72,24,307.047989093923,"Yes","No","Yes","Unsolved","Too many ads","5",1070,207
"4189",32,"M","Town","Basic Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",15,785.82,17174.44,21,589.31,"No","Yes","Yes","No Information Available","Poor Customer Service","5",861,350
"4192",12,"F","City","No Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",9,125.46,27546.25,17,121.999703091681,"Yes","No","No","Not Applicable","Poor Product Quality","4",648,199
"4193",15,"M","Town","Silver Membership","No","Credit/Debit Card Offers","Smartphone","Wi-Fi",13,160.24,37367.26,29.2766573651088,789.14,"No","Yes","No","Not Applicable","Poor Customer Service","3",114,292
"4195",18,"M","City","Premium Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",4,258.42,12080.34,29,789.12,"Yes","Yes","Yes","Solved","No reason specified","3",753,76
"4198",48,"F","Town","Platinum Membership","No","Without Offers","Desktop","Wi-Fi",4,1243.47410449581,21294.09,27,475.12328386308,"Yes","No","No","Not Applicable","Too many ads","3",305,75
"4199",19,"M","Village","Gold Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",12,93.41,23318.4,24,743.76,"Yes","No","Yes","Solved in Follow-up","Too many ads","3",309,272
"4200",16,"F","Village","Premium Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",17,196.25,92199.24,11,510.680015811753,"No","Yes","No","Not Applicable","Reasonable Price","1",457,402
"4201",25,"M","City","Gold Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",12,30.47,26524.54,23,634.11,"No","Yes","No","Not Applicable","No reason specified","4",425,275
"4204",26,"M","City","Basic Membership","No","Without Offers","Smartphone","Fiber_Optic",2,31.62,32189.73,5,591.3,"No","Yes","Yes","Solved in Follow-up","Poor Customer Service","5",565,45
"4205",27,"F","Village","Gold Membership","No","Without Offers","Smartphone","Mobile_Data",4,32.73,28015.58,2,844.47,"No","Yes","No","Not Applicable","User Friendly Website","1",869,76
"4207",60,"F","Town","Basic Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",5,502.47,7299.2,20,532.25,"Yes","No","Yes","Solved","Poor Customer Service","5",467,111
"4208",10,"F","Town","Premium Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",7,532.51,98408.35,14,765.6,"No","Yes","No","Not Applicable","Reasonable Price","2",155,149
"4210",60,"F","City","Silver Membership","Yes","Without Offers","Desktop","Mobile_Data",10,1024.79365801047,9015.57,17,660.72,"Yes","No","No","Not Applicable","Poor Customer Service","4",512,232
"4211",12,"F","Town","Platinum Membership","Yes","Credit/Debit Card Offers","Desktop","Fiber_Optic",15,230.01,31737.22,18,948.758610281199,"Yes","No","No","Not Applicable","Poor Website","3",617,344
"4212",32,"M","City","Platinum Membership","Yes","Credit/Debit Card Offers","Both","Fiber_Optic",10,242.37,44606.24,17,807.56,"Yes","Yes","No","Not Applicable","User Friendly Website","1",328,227
"4213",20,"F","Village","Platinum Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",15,209.2,58675.38,19,1258.02048606867,"No","Yes","Yes","Solved in Follow-up","Quality Customer Care","1",184,358
"4216",53,"M","City","Basic Membership","Yes","Credit/Debit Card Offers","Desktop","Fiber_Optic",14,252.96,33952.7,25,540.52,"No","Yes","No","Not Applicable","Poor Website","5",1094,322
"4220",15,"F","Town","Basic Membership","No","Without Offers","Smartphone","Fiber_Optic",12,89.99,17989.26,9,648.8,"No","Yes","No","Not Applicable","Too many ads","5",1088,269
"4221",25,"F","Town","Basic Membership","Yes","Without Offers","Smartphone","Mobile_Data",7,1541.54804374714,8851.45,19,601.61,"Yes","Yes","Yes","No Information Available","Poor Customer Service","4",800,150
"4222",59,"F","Town","Silver Membership","No","Gift Vouchers/Coupons","Desktop","Wi-Fi",5,144.7,9488.08,18,680.49,"No","Yes","No","Not Applicable","Poor Website","4",1073,115
"4225",19,"M","City","Premium Membership","Yes","Without Offers","Desktop","Wi-Fi",17,152.83,22407.37,13,790.16,"No","Yes","Yes","Unsolved","Poor Product Quality","3",746,403
"4226",53,"M","City","Premium Membership","No","Without Offers","Desktop","Fiber_Optic",23,274.43,30258.12,35.8984775826684,747.37,"Yes","Yes","No","Not Applicable","Poor Customer Service","3",219,549
"4227",58,"M","Town","No Membership","Yes","Without Offers","Smartphone","Wi-Fi",22,68.41,3301.98,19,622,"No","Yes","Yes","Solved in Follow-up","Poor Product Quality","4",574,525
"4233",55,"F","Town","Silver Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",7,565.83,3739.6,20,763.12,"No","Yes","No","Not Applicable","Poor Website","3",908,164
"4235",19,"M","Town","Gold Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",24,107.18,27472.23,8,261.039128882258,"Yes","No","Yes","Solved in Follow-up","Poor Website","4",79,571
"4237",28,"M","Village","Basic Membership","Yes","Without Offers","Desktop","Wi-Fi",6,1136.69671056529,32720.35,14,666.12,"Yes","No","Yes","Solved in Follow-up","Poor Product Quality","4",124,127
"4242",12,"F","City","Gold Membership","No","Gift Vouchers/Coupons","Both","Mobile_Data",4,498.26,30221.71,36.1411899221307,703.72,"No","Yes","Yes","Unsolved","Poor Product Quality","3",1020,83
"4244",36,"M","City","Silver Membership","No","Without Offers","Smartphone","Fiber_Optic",14,109.76,48695.58,8,422.427580646648,"Yes","No","Yes","Solved","Poor Product Quality","4",354,328
"4245",43,"M","Village","Basic Membership","No","Without Offers","Desktop","Fiber_Optic",20,187.47,45024.04,23,630.92,"No","Yes","Yes","No Information Available","Poor Website","4",520,474
"4246",15,"M","Village","Basic Membership","No","Without Offers","Desktop","Fiber_Optic",21,36.56,45383.31,17,668.65,"Yes","No","No","Not Applicable","Too many ads","4",610,493
"4247",36,"M","Town","Platinum Membership","No","Without Offers","Desktop","Mobile_Data",12,172.57,35993.26,7,745.31,"Yes","No","No","Not Applicable","Poor Product Quality","3",1012,274
"4249",23,"F","City","Basic Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",19,60.59,35456.94,18,666.26,"Yes","No","Yes","Unsolved","Too many ads","5",472,445
"4250",25,"M","City","Gold Membership","Yes","Without Offers","Smartphone","Fiber_Optic",12,770.02,35530.39,29,798.03,"No","Yes","No","Not Applicable","Too many ads","3",426,265
"4254",20,"F","Town","Gold Membership","No","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",11,49.03,17022.13,21,621.73,"No","Yes","Yes","Unsolved","Poor Customer Service","4",1000,264
"4255",26,"F","City","Platinum Membership","Yes","Gift Vouchers/Coupons","Smartphone","Mobile_Data",2,114.42,26507.16,7,751.05,"No","Yes","Yes","Solved","Poor Website","3",412,40
"4256",58,"M","City","No Membership","No","Without Offers","Smartphone","Fiber_Optic",5,417.43,26070.75,10,598,"No","Yes","Yes","Solved in Follow-up","Poor Product Quality","5",689,104
"4257",15,"M","Town","Gold Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",16,129.44,37874.2,17,288.657262794862,"No","Yes","No","Not Applicable","Too many ads","3",902,377
"4258",57,"M","Town","Silver Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",24,30.36,2872.09,20,717.62,"Yes","No","No","Not Applicable","Poor Website","3",728,565
"4260",33,"M","Village","Gold Membership","Yes","Gift Vouchers/Coupons","Desktop","Fiber_Optic",18,281.84,44298.65,5,753.88,"No","Yes","Yes","Unsolved","Products always in Stock","1",934,420
"4263",46,"F","Town","No Membership","Yes","Gift Vouchers/Coupons","Both","Mobile_Data",9,1666.44860038823,33145.91,6,591.95,"No","Yes","Yes","Unsolved","Poor Website","5",280,216
"4265",42,"M","Town","No Membership","No","Without Offers","Desktop","Wi-Fi",8,44.82,33073.24,18,566.43,"No","Yes","Yes","No Information Available","Poor Website","5",1080,181
"4266",55,"F","Town","Platinum Membership","Yes","Credit/Debit Card Offers","Both","Mobile_Data",4,1041.8,21364.97,2,779.71,"No","Yes","No","Not Applicable","Reasonable Price","1",835,73
