age,gender,region_category,membership_category,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,join_date,Days_from,time_from_last_visit,churn_risk_score
47,M,Village,Basic Membership,No,Without Offers,Smartphone,Fiber_Optic,24,32.79,2880.93,27,982.0134561,Yes,No,No,Not Applicable,Too many ads,2017-01-27,338,557,3
35,F,Village,Premium Membership,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,5,310.52,26964.73,17,789.92,Yes,No,No,Not Applicable,Reasonable Price,2015-07-08,907,100,1
49,F,City,Silver Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,10,33.08,37967.23,29,655.7,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,2015-11-20,772,236,3
49,F,Village,Platinum Membership,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,8,269.48,19440.55,3,717.2,No,Yes,Yes,Solved in Follow-up,Products always in Stock,2016-02-27,673,186,1
42,F,City,Basic Membership,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,14,477.7,49530.32,25,572.56,Yes,No,Yes,Unsolved,No reason specified,2015-08-26,858,315,3
35,M,City,Premium Membership,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,20,878.87,93004.54,18,316.9794071,Yes,Yes,Yes,Solved in Follow-up,User Friendly Website,2017-12-26,5,464,1
24,F,Town,No Membership,Yes,Without Offers,Smartphone,Fiber_Optic,12,117.97,27074.96,17,270.1667348,Yes,No,No,Not Applicable,Poor Website,2017-05-20,225,282,3
29,F,Town,Basic Membership,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,11,307.74,12374.81,15,533.81,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,2016-11-30,396,242,3
13,M,City,No Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,11,34.67,44498.21,11,659.9,No,Yes,No,Not Applicable,Poor Product Quality,2016-02-18,682,257,3
25,F,City,Gold Membership,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,10,106.99,39051.49,3,751.71,No,Yes,Yes,No Information Available,Quality Customer Care,2017-01-01,364,220,1
58,M,Town,Basic Membership,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,15,32.11,31853.14,17,508.84,Yes,No,No,Not Applicable,Poor Customer Service,2016-04-24,616,346,3
52,M,Village,Gold Membership,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,14,90.79,7050,18,622.95,No,Yes,No,Not Applicable,Poor Customer Service,2015-07-20,895,318,3
49,M,Town,Platinum Membership,No,Credit/Debit Card Offers,Desktop,Mobile_Data,8,109.97,47344.15,8,724.14,Yes,No,Yes,Solved in Follow-up,Too many ads,2016-10-26,431,185,2
13,M,Town,Gold Membership,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,1,246.82,7902.05,9,791.08,Yes,No,No,Not Applicable,Reasonable Price,2016-10-13,444,6,1
62,M,Town,Premium Membership,Yes,Without Offers,Desktop,Wi-Fi,10,32.16,9157.78,3,784.29,No,Yes,No,Not Applicable,Reasonable Price,2017-10-16,76,229,1
38,F,Village,No Membership,Yes,Without Offers,Desktop,Wi-Fi,22,176.39,35729.22,22,638.56,No,Yes,Yes,No Information Available,Poor Website,2017-02-01,333,514,3
59,F,City,No Membership,No,Gift Vouchers/Coupons,Both,Fiber_Optic,14,369.57,22615.54,11,949.7909323,No,Yes,Yes,No Information Available,Too many ads,2015-12-05,757,313,3
35,F,Town,Silver Membership,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,22,40.69,10078.04,22,703.84,Yes,No,Yes,Solved,No reason specified,2017-02-09,325,525,2
38,M,City,Gold Membership,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,11,136.77,66197.1,16,321.762488,No,Yes,No,Not Applicable,Quality Customer Care,2017-07-19,165,254,1
49,F,Town,Basic Membership,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,6,60.24,44481.97,21,167.9230681,Yes,No,No,Not Applicable,No reason specified,2015-01-14,1082,131,3
47,M,Town,Silver Membership,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,13,65.89,42054.69,26,653.46,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,2017-04-08,267,310,3
20,F,Town,Silver Membership,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,12,180.69,27201.19,28,974.5647563,No,Yes,No,Not Applicable,Poor Customer Service,2017-12-30,1,287,2
11,M,City,Basic Membership,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,16,31.4,43021.4,20,711.35,Yes,No,No,Not Applicable,No reason specified,2017-04-26,249,376,3
45,F,City,Silver Membership,No,Gift Vouchers/Coupons,Both,Fiber_Optic,7,319.43,84017.89,4,775.73,Yes,No,No,Not Applicable,Quality Customer Care,2016-09-26,461,157,1
40,F,City,No Membership,Yes,Without Offers,Desktop,Wi-Fi,7,685.08,2628.83,24,661.87,Yes,Yes,Yes,Solved,Poor Customer Service,2016-12-20,376,149,3
39,F,Village,No Membership,No,Without Offers,Smartphone,Mobile_Data,15,112.5,16761.52,6,518.49,No,Yes,No,Not Applicable,Too many ads,2016-04-04,636,346,3
49,M,Town,No Membership,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,14,77.41,19841.59,9,672.35,No,Yes,No,Not Applicable,No reason specified,2016-11-11,415,329,3
24,M,Village,Gold Membership,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,16,921.59,6187.24,19,707.83,Yes,No,Yes,Solved,Poor Product Quality,2015-11-21,771,372,3
41,M,City,No Membership,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,21,319.86,48773.63,6,719.17,Yes,Yes,Yes,Unsolved,Poor Website,2017-03-03,303,491,3
30,F,City,Gold Membership,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,9,852.88,4413.77,21,429.3992588,Yes,Yes,No,Not Applicable,No reason specified,2015-04-20,986,213,2
61,F,City,Basic Membership,No,Without Offers,Smartphone,Wi-Fi,5,98.77,40754.67,21,1529.459264,Yes,No,No,Not Applicable,Poor Product Quality,2017-05-27,218,113,3
18,M,Town,Silver Membership,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,5,124.14,41054.96,21,676.63,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,2015-06-14,931,113,3
37,F,Town,Gold Membership,No,Without Offers,Smartphone,Wi-Fi,9,123.46,43411.01,6,682.19,No,Yes,No,Not Applicable,Poor Customer Service,2015-07-22,893,193,3
53,F,City,Basic Membership,Yes,Without Offers,Desktop,Mobile_Data,8,310.57,46029.06,6,559.71,Yes,No,Yes,No Information Available,Poor Website,2016-04-20,620,169,3
39,M,Village,Platinum Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,9,31.68,15813.54,18,983.8011263,Yes,No,No,Not Applicable,Poor Website,2017-11-27,34,204,2
54,F,Town,No Membership,No,Without Offers,Smartphone,Wi-Fi,24,34.19,18642.07,15,712.53,Yes,No,Yes,No Information Available,Too many ads,2015-06-22,923,576,3
57,F,Town,Basic Membership,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,13,186.23,1522.32,14,526.05,Yes,No,No,Not Applicable,No reason specified,2015-03-31,1006,308,3
53,F,City,Premium Membership,Yes,Without Offers,Smartphone,Wi-Fi,11,30.44,31020.51,7,782.36,No,Yes,Yes,No Information Available,Too many ads,2017-07-23,161,247,2
20,F,Town,Gold Membership,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,9,126.82,1732.45,8,758.87,No,Yes,No,Not Applicable,No reason specified,2017-04-07,268,201,2
17,M,Town,Gold Membership,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,5,1223.03,42111.58,10,738.77,Yes,No,No,Not Applicable,No reason specified,2016-10-09,448,111,2
36,F,Town,Gold Membership,Yes,Without Offers,Smartphone,Mobile_Data,6,41.76,4245.15,20,608.13,Yes,No,No,Not Applicable,Too many ads,2017-09-05,117,136,3
57,M,City,Basic Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,24,69.88,19323.52,23,681.34,No,Yes,Yes,Solved,Poor Website,2016-03-02,669,574,3
24,F,City,No Membership,No,Without Offers,Both,Wi-Fi,4,282.21,17956.42,15,513.32,Yes,Yes,No,Not Applicable,Poor Customer Service,2015-12-11,751,85,3
61,M,City,No Membership,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,10,50.64,3750.98,29,633.32,Yes,No,No,Not Applicable,Poor Website,2017-10-26,66,233,3
43,M,Town,No Membership,No,Without Offers,Desktop,Wi-Fi,8,258.07,42381.22,10,1177.287164,No,Yes,No,Not Applicable,Poor Website,2016-08-09,509,171,3
64,F,City,No Membership,No,Credit/Debit Card Offers,Desktop,Mobile_Data,22,115.05,3002.45,20,623.69,No,Yes,No,Not Applicable,No reason specified,2017-10-08,84,507,3
31,M,Town,Silver Membership,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,11,304.41,57914.82,9,796.87,No,Yes,Yes,No Information Available,Quality Customer Care,2017-01-01,364,244,1
58,F,City,No Membership,No,Without Offers,Smartphone,Fiber_Optic,13,284.13,1873.84,9,136.5637409,No,Yes,No,Not Applicable,Too many ads,2016-06-19,560,305,3
54,F,Town,Basic Membership,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,10,37.79,48927.66,17,857.6162468,Yes,No,No,Not Applicable,No reason specified,2016-01-15,716,219,3
60,M,Town,Basic Membership,No,Without Offers,Smartphone,Fiber_Optic,14,33.53,11063.15,28,1094.842476,No,Yes,Yes,Unsolved,Poor Customer Service,2016-06-15,564,328,3
56,F,City,Silver Membership,No,Credit/Debit Card Offers,Both,Wi-Fi,9,452.72,15758,8,721.8,Yes,No,No,Not Applicable,Poor Website,2017-03-01,305,198,2
22,M,Village,Silver Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,18,153.4,16308.5,14,1115.42107,Yes,No,No,Not Applicable,Poor Website,2016-06-09,570,429,2
11,M,City,No Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,19,205.5,22907.2,7,678.65,No,Yes,No,Not Applicable,No reason specified,2017-06-16,198,438,3
57,M,Village,Basic Membership,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,7,83.17,19867.92,19,511.16,No,Yes,No,Not Applicable,Poor Product Quality,2017-05-23,222,156,3
53,M,Village,Basic Membership,No,Without Offers,Both,Mobile_Data,7,472.06,43992.58,13,640.71,Yes,No,No,Not Applicable,No reason specified,2015-07-23,892,158,3
14,F,Town,Premium Membership,Yes,Without Offers,Desktop,Mobile_Data,17,254.97,62707.36,18,824.37,Yes,Yes,Yes,Solved in Follow-up,User Friendly Website,2016-07-22,527,401,1
37,F,Village,Silver Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,12,986.13,49667.86,17,623.71,Yes,Yes,Yes,Unsolved,Poor Product Quality,2016-02-15,685,288,3
55,M,City,Platinum Membership,No,Without Offers,Smartphone,Mobile_Data,2,99.23,34741.13,8,789.86,Yes,No,Yes,Solved,Too many ads,2016-02-03,697,44,2
14,F,Village,Basic Membership,Yes,Without Offers,Smartphone,Mobile_Data,19,179.55,44110.61,11,702.43,Yes,No,Yes,Unsolved,Too many ads,2016-01-27,704,450,3
42,M,City,Premium Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,7,235.89,8143.92,11,783.78,No,Yes,No,Not Applicable,Too many ads,2015-03-14,1023,155,2
17,M,City,Silver Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,17,294.36,39475.08,8,703.81,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,2017-07-16,168,406,2
60,F,City,Platinum Membership,No,Credit/Debit Card Offers,Desktop,Mobile_Data,8,96.98,22680.05,7,251.6790932,Yes,No,Yes,Unsolved,No reason specified,2016-02-01,699,169,2
62,M,Town,Silver Membership,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,7,209.15,22996.95,5,764.88,Yes,No,No,Not Applicable,Poor Customer Service,2017-06-12,202,167,2
62,M,Town,Premium Membership,Yes,Without Offers,Desktop,Wi-Fi,14,140.36,24217.53,5,742.38,Yes,No,Yes,Solved,Poor Website,2017-08-25,128,313,2
29,M,Town,Premium Membership,No,Without Offers,Smartphone,Wi-Fi,14,145.02,12017.14,28,776.53,No,Yes,Yes,Unsolved,No reason specified,2016-02-22,678,335,2
57,M,Town,Platinum Membership,No,Credit/Debit Card Offers,Both,Wi-Fi,18,496.28,79364.21,10,783.33,Yes,Yes,Yes,No Information Available,Quality Customer Care,2016-09-15,472,415,1
16,M,City,Basic Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,13,33.24,947.41,12,514.13,Yes,No,Yes,No Information Available,Poor Customer Service,2017-02-02,332,293,3
56,F,Town,No Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,10,110.01,37701.72,6,602.23,No,Yes,No,Not Applicable,Poor Website,2017-04-21,254,226,3
11,M,City,Premium Membership,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,11,321.42,42978.27,9,705.05,Yes,No,Yes,Unsolved,Poor Customer Service,2015-06-04,941,243,2
63,F,City,Basic Membership,Yes,Credit/Debit Card Offers,Desktop,Fiber_Optic,12,243.26,24007.4,25,560.97,Yes,No,No,Not Applicable,No reason specified,2017-02-27,307,271,3
54,M,City,Gold Membership,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,16,44.95,19488.07,27,1145.750785,Yes,No,No,Not Applicable,Poor Product Quality,2016-09-23,464,382,3
16,M,Town,No Membership,Yes,Without Offers,Smartphone,Fiber_Optic,17,66.57,42744.69,16,643.96,Yes,No,No,Not Applicable,No reason specified,2015-05-16,960,402,3
54,M,City,Premium Membership,No,Gift Vouchers/Coupons,Both,Fiber_Optic,5,584.62,62950.74,12,780.4,No,Yes,No,Not Applicable,Reasonable Price,2016-04-05,635,100,1
61,M,City,Platinum Membership,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,11,51.79,34538.51,5,711.16,Yes,No,Yes,Unsolved,No reason specified,2017-04-11,264,251,2
36,M,Town,Silver Membership,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,12,100.86,36736.23,10,622.57,Yes,No,No,Not Applicable,Too many ads,2017-08-28,125,274,3
52,F,City,Basic Membership,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,14,31.8,36402.1,15,678.7,No,Yes,Yes,Unsolved,Poor Product Quality,2017-11-11,50,319,3
13,F,Village,Basic Membership,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,8,751.87,34431.19,22,627.14,Yes,No,No,Not Applicable,No reason specified,2017-05-13,232,175,3
32,F,Town,Gold Membership,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,15,117.91,43075.99,24,660.87,Yes,No,Yes,Solved,Poor Customer Service,2016-01-01,730,353,3
53,M,City,Gold Membership,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,9,205.15,38866.99,21,778.79,Yes,No,Yes,Unsolved,Too many ads,2017-06-09,205,197,2
35,M,Town,No Membership,Yes,Credit/Debit Card Offers,Desktop,Fiber_Optic,13,291.86,47153.05,22,179.8590819,Yes,No,Yes,No Information Available,No reason specified,2015-10-21,802,300,3
62,M,Town,Platinum Membership,Yes,Without Offers,Both,Wi-Fi,13,893.7,23974.23,11,747.18,No,Yes,No,Not Applicable,Poor Product Quality,2017-10-05,87,305,2
30,F,City,Platinum Membership,Yes,Without Offers,Desktop,Fiber_Optic,4,694.02,27202.38,15,761.87,Yes,No,No,Not Applicable,Reasonable Price,2017-03-14,292,80,1
29,M,Town,Silver Membership,Yes,Credit/Debit Card Offers,Both,Fiber_Optic,3,222.74,17214.96,23,739.85,Yes,No,Yes,Solved,Poor Product Quality,2017-05-19,226,53,2
64,M,City,Silver Membership,No,Without Offers,Desktop,Fiber_Optic,18,137.76,47333.97,21,739.76,No,Yes,Yes,Unsolved,Poor Website,2017-02-12,322,425,2
58,F,Town,No Membership,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,23,239.36,21123.92,16,526.71,No,Yes,Yes,Solved in Follow-up,No reason specified,2015-03-09,1028,542,3
17,F,Village,No Membership,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,12,932.18,34522.46,5,610.07,Yes,Yes,No,Not Applicable,Poor Customer Service,2015-07-19,896,272,3
36,M,City,Silver Membership,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,11,122.15,39357.33,19,754.83,No,Yes,Yes,No Information Available,Too many ads,2015-02-26,1039,251,2
37,F,Town,Gold Membership,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,19,43.03,44048.22,7,618.35,No,Yes,No,Not Applicable,Too many ads,2017-01-09,356,453,3
58,M,Town,No Membership,Yes,Without Offers,Smartphone,Fiber_Optic,15,126.21,29392.7,20,687.01,Yes,No,No,Not Applicable,No reason specified,2017-04-18,257,359,3
19,F,City,No Membership,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,23,349.88,45797.31,20,547.9,Yes,No,Yes,Unsolved,Poor Website,2016-01-29,702,546,3
54,F,Town,Basic Membership,Yes,Credit/Debit Card Offers,Desktop,Fiber_Optic,10,525.59,29327.7,18,525.75,Yes,No,No,Not Applicable,Too many ads,2017-11-05,56,223,3
39,M,Town,Basic Membership,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,21,173.11,14571.42,23,711.75,No,Yes,No,Not Applicable,Poor Product Quality,2016-07-20,529,481,3
10,M,City,Basic Membership,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,9,329.06,1825.55,22,611.01,No,Yes,Yes,Unsolved,Poor Product Quality,2017-03-04,302,197,3
59,F,Town,Silver Membership,No,Gift Vouchers/Coupons,Both,Wi-Fi,4,314.12,43474.91,22,761.44,No,Yes,No,Not Applicable,Poor Product Quality,2017-10-11,81,74,2
37,F,City,Basic Membership,Yes,Without Offers,Smartphone,Fiber_Optic,20,288.92,43252.58,17,632.75,Yes,Yes,No,Not Applicable,Poor Customer Service,2017-01-29,336,464,3
59,M,Town,Silver Membership,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,5,31.87,32898.93,12,739.35,No,Yes,No,Not Applicable,Poor Customer Service,2016-07-28,521,111,2
31,M,Village,Gold Membership,Yes,Credit/Debit Card Offers,Both,Fiber_Optic,23,603.36,6458.95,24,1424.792974,No,Yes,No,Not Applicable,Poor Customer Service,2017-03-14,292,532,3
36,M,Village,No Membership,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,10,32.04,37641.89,23,694.43,Yes,No,No,Not Applicable,Poor Customer Service,2015-10-15,808,218,3
39,F,Town,Gold Membership,No,Without Offers,Desktop,Wi-Fi,12,67.84,31074.11,29,651.96,No,Yes,Yes,Unsolved,Too many ads,2015-08-24,860,281,3
45,M,Village,Silver Membership,No,Without Offers,Smartphone,Mobile_Data,19,180.77,32018.04,9,738.69,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,2016-09-16,471,436,2
27,F,City,Gold Membership,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,17,198.55,24612.37,12,266.6037769,Yes,No,No,Not Applicable,Poor Website,2015-07-28,887,387,3
40,M,Town,No Membership,No,Without Offers,Desktop,Wi-Fi,18,147.13,20564.46,13,570.77,Yes,No,Yes,Solved,Too many ads,2016-10-04,453,432,3
10,M,Town,Silver Membership,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,18,239.45,8052.19,22,636.02,Yes,No,No,Not Applicable,Poor Product Quality,2015-11-03,789,425,3
61,M,Town,Basic Membership,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,23,312.99,18335.96,21,525.25,Yes,No,No,Not Applicable,Poor Product Quality,2016-09-03,484,545,3
51,F,Town,No Membership,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,14,267.73,41026.92,10,1039.075618,Yes,Yes,Yes,Unsolved,Poor Customer Service,2016-04-18,622,331,3
44,M,Town,No Membership,No,Credit/Debit Card Offers,Desktop,Mobile_Data,17,64.19,32265.27,5,619.01,No,Yes,No,Not Applicable,Too many ads,2015-02-14,1051,389,3
34,M,Village,Basic Membership,Yes,Without Offers,Both,Wi-Fi,13,313.12,26337.83,11,556.52,Yes,Yes,No,Not Applicable,Poor Customer Service,2015-08-20,864,295,3
23,M,Town,Basic Membership,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,17,930.77,4974.09,29,503.64,Yes,Yes,No,Not Applicable,Poor Customer Service,2016-07-30,519,398,3
24,M,Town,Basic Membership,No,Without Offers,Smartphone,Wi-Fi,16,183.19,17118.23,29,1038.348855,Yes,No,No,Not Applicable,Too many ads,2017-02-22,312,375,3
60,F,City,No Membership,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,5,533.68,34164.37,16,632.55,No,Yes,Yes,Solved,No reason specified,2015-07-17,898,109,3
55,M,Town,Silver Membership,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,12,96.98,12450,26,796.12,Yes,No,No,Not Applicable,Too many ads,2015-03-15,1022,278,2
40,M,Village,No Membership,No,Without Offers,Desktop,Mobile_Data,10,168.19,17365.42,15,412.0690261,Yes,No,Yes,Unsolved,Poor Website,2016-07-19,530,219,3
45,M,City,Basic Membership,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,11,107.5,31477.22,24,619.49,No,Yes,Yes,No Information Available,Poor Product Quality,2017-02-08,326,249,3
39,F,City,No Membership,Yes,Without Offers,Smartphone,Wi-Fi,14,1388.48658,3390.41,15,580.6,Yes,No,Yes,Solved,No reason specified,2016-11-28,398,331,3
25,M,City,Premium Membership,No,Without Offers,Desktop,Fiber_Optic,16,239.48,6054.57,4,775.55,No,Yes,Yes,Solved in Follow-up,User Friendly Website,2016-06-09,570,361,1
19,F,Town,Gold Membership,Yes,Without Offers,Smartphone,Fiber_Optic,18,53.7,47421.49,13,481.9091256,No,Yes,No,Not Applicable,Too many ads,2017-06-21,193,422,2
11,F,Town,Gold Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,11,128.71,3212.14,23,714.28,No,Yes,No,Not Applicable,Too many ads,2017-07-27,157,257,3
53,F,Town,Silver Membership,Yes,Without Offers,Desktop,Mobile_Data,16,155.5,23479.84,18,904.3954721,No,Yes,No,Not Applicable,No reason specified,2015-02-15,1050,377,3
28,M,City,No Membership,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,16,231.55,2097.19,15,147.9907394,Yes,No,Yes,No Information Available,Too many ads,2016-08-19,499,368,3
16,M,Village,Silver Membership,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,9,74.1,7367.48,10,1214.797131,No,Yes,No,Not Applicable,No reason specified,2015-08-31,853,208,3
46,M,City,Platinum Membership,Yes,Without Offers,Smartphone,Fiber_Optic,19,58.81,39134.97,26,782.4,Yes,No,No,Not Applicable,Poor Product Quality,2017-06-01,213,443,2
19,M,Village,Gold Membership,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,10,520.54,16167.97,16,974.67045,Yes,No,Yes,No Information Available,Poor Website,2015-08-09,875,227,2
17,F,City,No Membership,No,Without Offers,Smartphone,Mobile_Data,3,86.45,41217.05,26,620.19,No,Yes,Yes,No Information Available,Too many ads,2016-07-11,538,63,3
24,F,City,Platinum Membership,Yes,Without Offers,Desktop,Wi-Fi,14,148.84,23663.39,19,231.9762263,Yes,No,Yes,Unsolved,User Friendly Website,2016-06-30,549,334,1
28,F,City,Basic Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,10,490.81,18218.03,24,619.28,Yes,Yes,No,Not Applicable,Poor Customer Service,2015-03-02,1035,233,3
14,M,City,Premium Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,24,83.92,29685.81,18,730.41,Yes,No,No,Not Applicable,Too many ads,2015-07-27,888,563,2
44,M,Town,Premium Membership,Yes,Without Offers,Smartphone,Mobile_Data,14,54.67,68060.83,19,785.09,Yes,No,Yes,Solved,Products always in Stock,2017-01-12,353,321,1
44,M,Town,Basic Membership,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,17,103.96,46061.62,29,622.57,No,Yes,Yes,Solved,Poor Website,2015-12-25,737,391,3
58,M,Village,Basic Membership,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,17,170.99,22484.56,6,627.38,No,Yes,No,Not Applicable,Poor Customer Service,2017-09-19,103,405,3
37,M,City,Gold Membership,Yes,Credit/Debit Card Offers,Desktop,Fiber_Optic,2,69.03,32510.32,16,724.95,Yes,No,Yes,Unsolved,Poor Customer Service,2017-04-07,268,32,2
61,F,Town,Platinum Membership,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,25,128.62,27987,19,739.48,Yes,No,No,Not Applicable,Too many ads,2016-04-05,635,595,2
33,F,City,Platinum Membership,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,17,89.21,23306.53,16,735.33,Yes,No,No,Not Applicable,Poor Product Quality,2016-04-20,620,385,2
30,F,Town,Silver Membership,Yes,Without Offers,Smartphone,Wi-Fi,13,84.67,35042.4,20,765.63,Yes,No,Yes,No Information Available,No reason specified,2016-03-06,665,291,2
43,F,City,Silver Membership,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,22,85.31,28770.88,12,646.32,Yes,No,Yes,Solved,Too many ads,2017-05-03,242,511,3
59,F,Town,Gold Membership,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,23,32.16,16625.03,7,756.22,Yes,No,Yes,No Information Available,Reasonable Price,2016-02-07,693,541,1
38,F,City,Premium Membership,No,Without Offers,Smartphone,Wi-Fi,13,95.99,10034.73,28,492.3676951,No,Yes,No,Not Applicable,Too many ads,2017-05-17,228,311,2
12,M,Village,Basic Membership,Yes,Credit/Debit Card Offers,Both,Fiber_Optic,5,544.58,15974.41,15,548.26,No,Yes,Yes,Solved,Poor Product Quality,2015-06-17,928,114,3
50,F,City,No Membership,No,Credit/Debit Card Offers,Both,Fiber_Optic,16,415.32,46092.14,17,618.65,Yes,Yes,No,Not Applicable,No reason specified,2015-01-15,1081,364,3
23,M,Town,No Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,11,155.6,15638.08,13,707.79,Yes,No,Yes,Unsolved,Poor Customer Service,2017-07-22,162,247,3
16,M,City,No Membership,Yes,Without Offers,Desktop,Mobile_Data,21,33.36,24905.16,28,565.58,Yes,No,No,Not Applicable,No reason specified,2017-01-22,343,484,3
32,M,Town,No Membership,No,Without Offers,Smartphone,Fiber_Optic,4,101.23,29618.33,5,672.92,No,Yes,Yes,Unsolved,Too many ads,2017-01-02,363,77,3
60,M,Village,Silver Membership,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,11,75.62,27203.97,24,759.68,Yes,No,Yes,Solved,No reason specified,2015-01-04,1092,244,2
41,F,Town,Platinum Membership,No,Without Offers,Desktop,Fiber_Optic,11,38.18,45793.64,18,755.2,Yes,No,No,Not Applicable,Poor Website,2017-10-15,77,247,2
26,M,Village,Silver Membership,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,23,142.85,13224.15,29,744.29,No,Yes,Yes,No Information Available,Poor Website,2015-04-07,999,536,2
37,M,City,Platinum Membership,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,11,60.67,22999.84,28,735.23,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,2016-01-01,730,243,2
19,F,City,Basic Membership,No,Without Offers,Desktop,Fiber_Optic,24,66.23,8646.89,21,670.81,Yes,No,Yes,No Information Available,No reason specified,2017-12-17,14,575,3
